Animal,Age,Temperature,Symptom 1,Symptom 2,Symptom 3,Disease
Goat,5,42.0,extended neck,fatigue,chest discomfort,CCPP
Cow,4,42.9,frothing at mouth,swelling in limb,loss of appetite,East Coast Fever
Goat,4,42.0,shortness of breath,painful cough,fatigue,CCPP
Poultry,7,42.7,twisted neck,difficulty walking,sudden death,Newcastle Disease
Sheep,3,41.4,mass abortion,blood in stool,sweats,Rift Valley Fever
Goat,4,41.2,crackling sound,loss of appetite,fatigue,CCPP
Sheep,2,41.2,fatigue,sores on mouth,loss of appetite,PPR
Goat,4,41.3,swelling in abdomen,mass abortion,chills,Rift Valley Fever
Cow,8,42.4,loss of appetite,difficulty walking,fatigue,East Coast Fever
Cow,7,41.0,fatigue,swelling in abdomen,mass abortion,Rift Valley Fever
Sheep,4,41.0,foul diarrhea,loss of appetite,fatigue,PPR
Sheep,2,42.0,sores on tongue,sores on mouth,sores on gums,PPR
Cow,5,41.8,difficulty walking,lacrimation,frothing at mouth,East Coast Fever
Goat,4,42.2,mass abortion,sweats,chills,Rift Valley Fever
Goat,8,40.7,matted eyes,loss of appetite,foul diarrhea,PPR
Poultry,1,43.9,depression,difficulty walking,chills,Newcastle Disease
Cow,5,41.5,blood in stool,chills,swelling in abdomen,Rift Valley Fever
Cow,8,42.0,fatigue,loss of appetite,swelling in neck,East Coast Fever
Sheep,8,41.6,jaundice,swelling in abdomen,mass abortion,Rift Valley Fever
Cow,1,41.1,mass abortion,fatigue,swelling in abdomen,Rift Valley Fever
Sheep,7,41.8,sores on tongue,foul diarrhea,sores on mouth,PPR
Goat,8,41.2,swelling in abdomen,mass abortion,sweats,Rift Valley Fever
Goat,5,41.4,sores on tongue,loss of appetite,matted eyes,PPR
Poultry,1,43.9,depression,chills,sudden death,Newcastle Disease
Poultry,8,42.7,greenish diarrhea,depression,sudden death,Newcastle Disease
Goat,3,41.7,sores on mouth,loss of appetite,sores on tongue,PPR
Cow,6,41.2,sweats,blood in stool,fatigue,Rift Valley Fever
Goat,8,42.0,extended neck,chest discomfort,fatigue,CCPP
Goat,7,40.8,fatigue,loss of appetite,painful cough,CCPP
Cow,8,41.6,chills,mass abortion,blood in stool,Rift Valley Fever
Cow,6,41.3,lacrimation,fatigue,loss of appetite,East Coast Fever
Cow,2,41.3,chills,jaundice,mass abortion,Rift Valley Fever
Cow,5,41.9,frothing at mouth,difficulty walking,lacrimation,East Coast Fever
Goat,6,42.5,loss of appetite,crackling sound,shortness of breath,CCPP
Sheep,3,42.5,blood in stool,chills,fatigue,Rift Valley Fever
Goat,4,40.9,crackling sound,shortness of breath,painful cough,CCPP
Goat,1,41.5,fatigue,blood in stool,mass abortion,Rift Valley Fever
Goat,4,41.2,chills,jaundice,swelling in abdomen,Rift Valley Fever
Sheep,7,41.9,loss of appetite,sores on mouth,sores on gums,PPR
Sheep,7,40.8,fatigue,sores on mouth,sores on gums,PPR
Sheep,5,42.0,mass abortion,jaundice,chills,Rift Valley Fever
Poultry,6,44.4,greenish diarrhea,chills,twisted neck,Newcastle Disease
Goat,7,41.0,chills,mass abortion,fatigue,Rift Valley Fever
Goat,1,40.8,chest discomfort,fatigue,loss of appetite,CCPP
Goat,3,41.8,extended neck,chest discomfort,painful cough,CCPP
Sheep,3,41.6,sweats,chills,fatigue,Rift Valley Fever
Poultry,1,44.2,twisted neck,chills,sudden death,Newcastle Disease
Sheep,3,42.1,matted eyes,loss of appetite,fatigue,PPR
Goat,6,41.0,sores on tongue,matted eyes,sores on gums,PPR
Poultry,1,43.0,twisted neck,fatigue,chills,Newcastle Disease
Goat,6,40.6,sores on gums,loss of appetite,sores on mouth,PPR
Poultry,5,45.0,depression,chills,difficulty walking,Newcastle Disease
Goat,6,41.8,painful cough,fatigue,extended neck,CCPP
Cow,8,42.2,difficulty walking,swelling in neck,fatigue,East Coast Fever
Goat,3,40.7,foul diarrhea,sores on tongue,sores on gums,PPR
Goat,2,40.9,extended neck,chest discomfort,shortness of breath,CCPP
Cow,4,42.4,lacrimation,swelling in limb,difficulty walking,East Coast Fever
Goat,7,40.7,painful cough,extended neck,crackling sound,CCPP
Goat,2,41.2,foul diarrhea,matted eyes,loss of appetite,PPR
Cow,4,41.9,frothing at mouth,lacrimation,loss of appetite,East Coast Fever
Goat,7,42.0,extended neck,crackling sound,loss of appetite,CCPP
Goat,1,42.0,shortness of breath,chest discomfort,loss of appetite,CCPP
Cow,8,42.0,loss of appetite,swelling in neck,frothing at mouth,East Coast Fever
Poultry,8,45.0,chills,difficulty walking,fatigue,Newcastle Disease
Goat,5,42.4,blood in stool,chills,mass abortion,Rift Valley Fever
Goat,5,41.9,loss of appetite,fatigue,chest discomfort,CCPP
Goat,8,40.5,matted eyes,sores on tongue,sores on gums,PPR
Poultry,2,44.5,fatigue,sudden death,twisted neck,Newcastle Disease
Goat,5,42.0,painful cough,shortness of breath,chest discomfort,CCPP
Goat,5,41.5,swelling in abdomen,jaundice,fatigue,Rift Valley Fever
Cow,6,41.7,swelling in neck,fatigue,frothing at mouth,East Coast Fever
Goat,5,42.3,extended neck,fatigue,shortness of breath,CCPP
Sheep,2,41.0,foul diarrhea,sores on mouth,sores on gums,PPR
Sheep,4,41.4,sores on gums,foul diarrhea,fatigue,PPR
Goat,4,41.8,sores on gums,sores on tongue,matted eyes,PPR
Goat,2,41.6,fatigue,chest discomfort,extended neck,CCPP
Poultry,5,42.6,sudden death,difficulty walking,depression,Newcastle Disease
Poultry,2,43.0,twisted neck,greenish diarrhea,fatigue,Newcastle Disease
Cow,2,41.5,frothing at mouth,swelling in neck,fatigue,East Coast Fever
Poultry,8,43.9,fatigue,twisted neck,depression,Newcastle Disease
Sheep,3,41.1,blood in stool,chills,jaundice,Rift Valley Fever
Sheep,7,41.4,blood in stool,chills,swelling in abdomen,Rift Valley Fever
Goat,1,40.9,extended neck,loss of appetite,shortness of breath,CCPP
Goat,5,41.4,loss of appetite,shortness of breath,chest discomfort,CCPP
Poultry,4,43.3,fatigue,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,1,41.4,crackling sound,loss of appetite,extended neck,CCPP
Sheep,7,41.2,sores on tongue,foul diarrhea,sores on gums,PPR
Poultry,8,42.9,greenish diarrhea,difficulty walking,sudden death,Newcastle Disease
Sheep,6,41.5,fatigue,sores on tongue,foul diarrhea,PPR
Sheep,4,41.2,chills,jaundice,swelling in abdomen,Rift Valley Fever
Cow,8,41.8,swelling in neck,fatigue,lacrimation,East Coast Fever
Goat,1,42.0,sores on tongue,fatigue,sores on mouth,PPR
Cow,2,41.2,lacrimation,difficulty walking,frothing at mouth,East Coast Fever
Goat,1,41.7,sores on gums,sores on tongue,foul diarrhea,PPR
Goat,3,42.1,painful cough,crackling sound,loss of appetite,CCPP
Cow,3,42.3,fatigue,swelling in neck,frothing at mouth,East Coast Fever
Cow,1,42.2,lacrimation,difficulty walking,fatigue,East Coast Fever
Cow,6,40.9,jaundice,mass abortion,chills,Rift Valley Fever
Cow,3,42.3,fatigue,chills,sweats,Rift Valley Fever
Poultry,6,42.8,greenish diarrhea,depression,sudden death,Newcastle Disease
Goat,2,41.3,shortness of breath,extended neck,chest discomfort,CCPP
Goat,1,41.4,mass abortion,fatigue,chills,Rift Valley Fever
Sheep,8,41.1,loss of appetite,foul diarrhea,sores on mouth,PPR
Cow,5,41.3,jaundice,blood in stool,sweats,Rift Valley Fever
Cow,7,41.6,swelling in abdomen,fatigue,sweats,Rift Valley Fever
Goat,5,41.3,shortness of breath,painful cough,loss of appetite,CCPP
Goat,5,41.9,fatigue,chills,sweats,Rift Valley Fever
Poultry,3,44.2,sudden death,difficulty walking,fatigue,Newcastle Disease
Poultry,5,42.7,fatigue,sudden death,depression,Newcastle Disease
Poultry,4,42.5,twisted neck,greenish diarrhea,sudden death,Newcastle Disease
Goat,6,42.5,fatigue,mass abortion,sweats,Rift Valley Fever
Sheep,1,41.4,sores on gums,sores on tongue,matted eyes,PPR
Cow,3,42.9,lacrimation,difficulty walking,frothing at mouth,East Coast Fever
Poultry,2,44.3,chills,depression,sudden death,Newcastle Disease
Cow,3,41.2,mass abortion,blood in stool,jaundice,Rift Valley Fever
Poultry,3,43.4,fatigue,greenish diarrhea,twisted neck,Newcastle Disease
Goat,5,41.7,extended neck,chest discomfort,fatigue,CCPP
Goat,6,41.7,extended neck,painful cough,fatigue,CCPP
Goat,2,41.1,sores on tongue,foul diarrhea,sores on mouth,PPR
Poultry,4,44.0,fatigue,twisted neck,chills,Newcastle Disease
Cow,2,42.3,loss of appetite,fatigue,lacrimation,East Coast Fever
Sheep,7,41.3,sores on tongue,foul diarrhea,matted eyes,PPR
Poultry,2,43.8,chills,depression,twisted neck,Newcastle Disease
Poultry,6,42.7,depression,greenish diarrhea,twisted neck,Newcastle Disease
Goat,6,41.3,sores on mouth,matted eyes,sores on gums,PPR
Goat,5,41.4,painful cough,chest discomfort,crackling sound,CCPP
Goat,3,40.3,matted eyes,sores on gums,fatigue,PPR
Sheep,2,41.8,chills,blood in stool,swelling in abdomen,Rift Valley Fever
Cow,4,42.3,swelling in neck,frothing at mouth,swelling in limb,East Coast Fever
Cow,1,41.2,jaundice,sweats,chills,Rift Valley Fever
Poultry,1,42.5,twisted neck,difficulty walking,greenish diarrhea,Newcastle Disease
Poultry,4,42.9,chills,sudden death,greenish diarrhea,Newcastle Disease
Sheep,1,41.5,loss of appetite,matted eyes,sores on gums,PPR
Poultry,3,44.1,difficulty walking,sudden death,fatigue,Newcastle Disease
Poultry,4,44.2,difficulty walking,twisted neck,fatigue,Newcastle Disease
Poultry,7,44.6,sudden death,depression,difficulty walking,Newcastle Disease
Cow,3,42.5,frothing at mouth,difficulty walking,fatigue,East Coast Fever
Cow,7,41.9,frothing at mouth,lacrimation,fatigue,East Coast Fever
Cow,7,41.6,fatigue,swelling in neck,lacrimation,East Coast Fever
Goat,1,41.9,fatigue,loss of appetite,crackling sound,CCPP
Poultry,7,43.7,depression,chills,greenish diarrhea,Newcastle Disease
Goat,2,41.7,crackling sound,extended neck,painful cough,CCPP
Cow,3,42.9,fatigue,lacrimation,swelling in limb,East Coast Fever
Sheep,4,40.9,swelling in abdomen,chills,sweats,Rift Valley Fever
Goat,2,42.0,extended neck,painful cough,loss of appetite,CCPP
Goat,2,40.7,loss of appetite,sores on tongue,matted eyes,PPR
Cow,6,41.9,frothing at mouth,loss of appetite,lacrimation,East Coast Fever
Sheep,7,40.2,loss of appetite,foul diarrhea,fatigue,PPR
Goat,4,41.6,extended neck,loss of appetite,fatigue,CCPP
Goat,1,41.9,crackling sound,extended neck,fatigue,CCPP
Poultry,6,43.9,twisted neck,difficulty walking,sudden death,Newcastle Disease
Goat,3,41.9,chest discomfort,shortness of breath,extended neck,CCPP
Goat,6,41.1,loss of appetite,chest discomfort,crackling sound,CCPP
Poultry,4,42.6,sudden death,depression,greenish diarrhea,Newcastle Disease
Goat,3,41.6,shortness of breath,painful cough,crackling sound,CCPP
Goat,6,42.3,fatigue,painful cough,chest discomfort,CCPP
Sheep,1,41.0,sores on mouth,loss of appetite,sores on gums,PPR
Cow,7,42.7,loss of appetite,difficulty walking,frothing at mouth,East Coast Fever
Sheep,6,41.3,matted eyes,sores on gums,foul diarrhea,PPR
Cow,6,41.7,swelling in neck,fatigue,difficulty walking,East Coast Fever
Cow,3,42.0,sweats,blood in stool,fatigue,Rift Valley Fever
Poultry,5,44.2,chills,greenish diarrhea,difficulty walking,Newcastle Disease
Goat,5,41.3,foul diarrhea,fatigue,matted eyes,PPR
Poultry,1,43.4,sudden death,twisted neck,greenish diarrhea,Newcastle Disease
Poultry,5,42.8,twisted neck,difficulty walking,depression,Newcastle Disease
Goat,6,41.3,fatigue,extended neck,chest discomfort,CCPP
Cow,2,42.0,chills,swelling in abdomen,fatigue,Rift Valley Fever
Poultry,6,43.7,sudden death,twisted neck,chills,Newcastle Disease
Cow,1,41.2,frothing at mouth,difficulty walking,fatigue,East Coast Fever
Cow,3,42.5,swelling in limb,loss of appetite,fatigue,East Coast Fever
Goat,7,40.6,sores on tongue,sores on mouth,foul diarrhea,PPR
Poultry,5,44.0,chills,depression,fatigue,Newcastle Disease
Cow,7,41.7,swelling in limb,swelling in neck,difficulty walking,East Coast Fever
Cow,1,42.2,loss of appetite,swelling in neck,frothing at mouth,East Coast Fever
Cow,1,42.7,loss of appetite,difficulty walking,frothing at mouth,East Coast Fever
Goat,1,41.3,sores on mouth,sores on gums,fatigue,PPR
Goat,8,41.1,chest discomfort,loss of appetite,fatigue,CCPP
Goat,4,41.7,crackling sound,painful cough,shortness of breath,CCPP
Sheep,1,40.8,sores on tongue,fatigue,foul diarrhea,PPR
Cow,3,42.3,frothing at mouth,difficulty walking,swelling in neck,East Coast Fever
Goat,1,41.4,loss of appetite,chest discomfort,shortness of breath,CCPP
Goat,8,41.2,swelling in abdomen,fatigue,mass abortion,Rift Valley Fever
Poultry,3,44.1,fatigue,chills,twisted neck,Newcastle Disease
Goat,4,42.0,painful cough,extended neck,chest discomfort,CCPP
Poultry,7,43.9,chills,difficulty walking,depression,Newcastle Disease
Sheep,5,41.0,swelling in abdomen,sweats,mass abortion,Rift Valley Fever
Goat,4,41.3,loss of appetite,matted eyes,sores on gums,PPR
Sheep,5,41.4,fatigue,loss of appetite,sores on mouth,PPR
Sheep,7,40.6,loss of appetite,fatigue,sores on mouth,PPR
Cow,1,41.8,blood in stool,swelling in abdomen,chills,Rift Valley Fever
Sheep,2,41.5,fatigue,sores on gums,foul diarrhea,PPR
Goat,7,41.1,loss of appetite,fatigue,sores on gums,PPR
Sheep,3,41.4,sores on gums,matted eyes,foul diarrhea,PPR
Goat,4,42.3,sweats,swelling in abdomen,jaundice,Rift Valley Fever
Cow,3,41.4,mass abortion,blood in stool,chills,Rift Valley Fever
Goat,5,40.6,mass abortion,fatigue,chills,Rift Valley Fever
Cow,3,41.4,difficulty walking,loss of appetite,lacrimation,East Coast Fever
Cow,8,41.6,difficulty walking,fatigue,loss of appetite,East Coast Fever
Cow,2,41.5,swelling in abdomen,chills,jaundice,Rift Valley Fever
Sheep,2,41.3,sores on mouth,fatigue,foul diarrhea,PPR
Goat,4,41.2,crackling sound,painful cough,chest discomfort,CCPP
Sheep,5,40.7,fatigue,chills,blood in stool,Rift Valley Fever
Poultry,5,44.5,greenish diarrhea,depression,difficulty walking,Newcastle Disease
Poultry,2,43.8,fatigue,difficulty walking,twisted neck,Newcastle Disease
Cow,6,41.9,swelling in limb,swelling in neck,lacrimation,East Coast Fever
Goat,6,41.6,fatigue,shortness of breath,loss of appetite,CCPP
Sheep,7,40.6,matted eyes,sores on mouth,foul diarrhea,PPR
Poultry,1,44.2,sudden death,greenish diarrhea,fatigue,Newcastle Disease
Sheep,5,41.6,sores on tongue,sores on gums,sores on mouth,PPR
Goat,8,41.4,painful cough,crackling sound,loss of appetite,CCPP
Goat,5,41.5,chest discomfort,extended neck,fatigue,CCPP
Poultry,2,42.8,chills,sudden death,greenish diarrhea,Newcastle Disease
Goat,8,41.1,loss of appetite,chest discomfort,painful cough,CCPP
Cow,7,42.5,swelling in neck,fatigue,loss of appetite,East Coast Fever
Poultry,3,44.8,twisted neck,fatigue,difficulty walking,Newcastle Disease
Sheep,2,40.6,fatigue,sores on tongue,matted eyes,PPR
Poultry,6,43.3,chills,twisted neck,sudden death,Newcastle Disease
Sheep,8,40.7,sores on tongue,foul diarrhea,loss of appetite,PPR
Cow,3,42.7,frothing at mouth,difficulty walking,swelling in limb,East Coast Fever
Cow,8,41.5,frothing at mouth,swelling in limb,fatigue,East Coast Fever
Cow,2,42.4,difficulty walking,lacrimation,swelling in limb,East Coast Fever
Sheep,4,40.9,matted eyes,sores on gums,loss of appetite,PPR
Goat,1,40.6,sores on mouth,sores on tongue,sores on gums,PPR
Poultry,8,44.5,depression,greenish diarrhea,difficulty walking,Newcastle Disease
Cow,7,41.3,sweats,chills,blood in stool,Rift Valley Fever
Goat,2,41.1,chest discomfort,shortness of breath,extended neck,CCPP
Goat,3,41.6,fatigue,sweats,jaundice,Rift Valley Fever
Goat,8,41.6,shortness of breath,painful cough,fatigue,CCPP
Goat,3,41.9,loss of appetite,extended neck,painful cough,CCPP
Goat,1,41.2,fatigue,chest discomfort,crackling sound,CCPP
Poultry,1,42.5,depression,difficulty walking,sudden death,Newcastle Disease
Sheep,8,41.5,swelling in abdomen,blood in stool,fatigue,Rift Valley Fever
Goat,2,41.9,painful cough,shortness of breath,loss of appetite,CCPP
Poultry,4,45.0,depression,chills,fatigue,Newcastle Disease
Poultry,5,42.7,sudden death,twisted neck,depression,Newcastle Disease
Sheep,8,41.4,sores on gums,matted eyes,foul diarrhea,PPR
Sheep,8,40.9,jaundice,mass abortion,swelling in abdomen,Rift Valley Fever
Cow,5,42.6,loss of appetite,swelling in limb,lacrimation,East Coast Fever
Goat,5,42.4,chest discomfort,shortness of breath,loss of appetite,CCPP
Poultry,8,44.1,sudden death,chills,twisted neck,Newcastle Disease
Poultry,4,43.8,chills,greenish diarrhea,depression,Newcastle Disease
Goat,6,41.0,loss of appetite,painful cough,extended neck,CCPP
Poultry,7,43.0,fatigue,chills,twisted neck,Newcastle Disease
Sheep,2,41.1,fatigue,mass abortion,jaundice,Rift Valley Fever
Cow,3,41.5,frothing at mouth,loss of appetite,lacrimation,East Coast Fever
Goat,7,41.2,fatigue,extended neck,crackling sound,CCPP
Poultry,5,43.5,twisted neck,chills,fatigue,Newcastle Disease
Cow,4,41.9,swelling in neck,loss of appetite,swelling in limb,East Coast Fever
Goat,3,41.1,foul diarrhea,loss of appetite,sores on gums,PPR
Cow,8,41.3,frothing at mouth,loss of appetite,lacrimation,East Coast Fever
Sheep,2,41.5,matted eyes,sores on gums,sores on tongue,PPR
Cow,2,40.7,mass abortion,blood in stool,fatigue,Rift Valley Fever
Goat,5,41.7,fatigue,chest discomfort,loss of appetite,CCPP
Cow,7,41.1,loss of appetite,lacrimation,fatigue,East Coast Fever
Goat,3,40.8,sores on gums,foul diarrhea,loss of appetite,PPR
Goat,4,41.4,matted eyes,sores on tongue,fatigue,PPR
Goat,3,40.9,painful cough,loss of appetite,crackling sound,CCPP
Poultry,1,43.4,fatigue,twisted neck,difficulty walking,Newcastle Disease
Sheep,2,41.8,jaundice,swelling in abdomen,sweats,Rift Valley Fever
Goat,1,41.0,fatigue,shortness of breath,chest discomfort,CCPP
Sheep,1,41.0,matted eyes,sores on tongue,loss of appetite,PPR
Sheep,5,41.8,foul diarrhea,fatigue,sores on gums,PPR
Sheep,8,40.9,sores on tongue,sores on gums,foul diarrhea,PPR
